site YYMMMDD yyyy_yyyy x__MJD week d reflon x_e0_m_ x__east_m_ x____n0_m_ x_north_m_ u0_m_ x____up_m_ x_ant_m_ sig_e_m_ sig_n_m_ sig_u_m_ x__corr_en x__corr_eu x__corr_nu
BRD1 16JUN22 2016.4736 57561 1902 4 -119.0 -239 -0.619861 4408352 0.303257 1247 0.396495 0.0083 0.000944 0.001178 0.003435 -0.225961 0.036365 -0.206269
BRD1 16JUN23 2016.4764 57562 1902 5 -119.0 -239 -0.622694 4408352 0.301107 1247 0.398631 0.0083 0.000924 0.001157 0.003404 -0.223663 0.065509 -0.208807
BRD1 16JUN24 2016.4791 57563 1902 6 -119.0 -239 -0.620661 4408352 0.304530 1247 0.399242 0.0083 0.000935 0.001175 0.003413 -0.230304 0.046173 -0.137158
BRD1 16JUN25 2016.4819 57564 1902 7 -119.0 -239 -0.622589 4408352 0.300710 1247 0.384325 0.0083 0.000917 0.001173 0.003394 -0.255496 0.064195 -0.229296
BRD1 16JUN26 2016.4846 57565 1903 1 -119.0 -239 -0.620408 4408352 0.302151 1247 0.394289 0.0083 0.000945 0.001196 0.003459 -0.235945 0.014311 -0.186273
BRD1 16JUN27 2016.4873 57566 1903 2 -119.0 -239 -0.618997 4408352 0.301988 1247 0.394474 0.0083 0.000944 0.001183 0.003381 -0.254986 0.030437 -0.133644
BRD1 16JUN28 2016.4901 57567 1903 3 -119.0 -239 -0.620696 4408352 0.301173 1247 0.403768 0.0083 0.000946 0.001185 0.003474 -0.228526 0.036623 -0.189120
BRD1 16JUN29 2016.4928 57568 1903 4 -119.0 -239 -0.618908 4408352 0.303057 1247 0.399403 0.0083 0.000925 0.001159 0.003296 -0.265618 0.082151 -0.189887
BRD1 16JUN30 2016.4956 57569 1903 5 -119.0 -239 -0.617226 4408352 0.299727 1247 0.400014 0.0083 0.000937 0.001173 0.003364 -0.265338 0.047130 -0.191100
BRD1 16JUL01 2016.4983 57570 1903 6 -119.0 -239 -0.620693 4408352 0.301402 1247 0.402512 0.0083 0.000936 0.001182 0.003506 -0.230814 0.023995 -0.183805
BRD1 16JUL02 2016.5010 57571 1903 7 -119.0 -239 -0.625264 4408352 0.302260 1247 0.395379 0.0083 0.000933 0.001164 0.003435 -0.222891 0.059928 -0.209011
BRD1 16JUL03 2016.5038 57572 1904 1 -119.0 -239 -0.620138 4408352 0.303415 1247 0.399109 0.0083 0.000936 0.001187 0.003413 -0.253804 0.084767 -0.198939
BRD1 16JUL04 2016.5065 57573 1904 2 -119.0 -239 -0.621622 4408352 0.303457 1247 0.401290 0.0083 0.000938 0.001183 0.003404 -0.261366 0.055518 -0.198088
BRD1 16JUL05 2016.5092 57574 1904 3 -119.0 -239 -0.618991 4408352 0.302358 1247 0.386948 0.0083 0.000924 0.001197 0.003460 -0.222510 0.096964 -0.149914
BRD1 16JUL06 2016.5120 57575 1904 4 -119.0 -239 -0.622814 4408352 0.305272 1247 0.397453 0.0083 0.000969 0.001179 0.003448 -0.198605 0.088787 -0.181482
BRD1 16JUL07 2016.5147 57576 1904 5 -119.0 -239 -0.620387 4408352 0.301140 1247 0.398315 0.0083 0.000934 0.001201 0.003403 -0.257495 0.101087 -0.193317
BRD1 16JUL08 2016.5175 57577 1904 6 -119.0 -239 -0.618552 4408352 0.302307 1247 0.398169 0.0083 0.000913 0.001154 0.003294 -0.234023 0.089971 -0.155822
BRD1 16JUL09 2016.5202 57578 1904 7 -119.0 -239 -0.621278 4408352 0.301892 1247 0.396694 0.0083 0.000931 0.001181 0.003435 -0.242871 0.059209 -0.209440
BRD1 16JUL10 2016.5229 57579 1905 1 -119.0 -239 -0.626040 4408352 0.302850 1247 0.392684 0.0083 0.000920 0.001157 0.003303 -0.256544 0.080066 -0.209071
BRD1 16JUL11 2016.5257 57580 1905 2 -119.0 -239 -0.620377 4408352 0.304963 1247 0.387590 0.0083 0.000928 0.001154 0.003353 -0.224730 0.042558 -0.206432
BRD1 16JUL12 2016.5284 57581 1905 3 -119.0 -239 -0.616850 4408352 0.301745 1247 0.391511 0.0083 0.000934 0.001151 0.003315 -0.235000 0.060257 -0.212304
BRD1 16JUL13 2016.5311 57582 1905 4 -119.0 -239 -0.621772 4408352 0.303709 1247 0.393803 0.0083 0.000913 0.001141 0.003328 -0.235285 0.076629 -0.191207
BRD1 16JUL14 2016.5339 57583 1905 5 -119.0 -239 -0.618594 4408352 0.301896 1247 0.393726 0.0083 0.000928 0.001183 0.003327 -0.241624 0.109837 -0.163732
BRD1 16JUL15 2016.5366 57584 1905 6 -119.0 -239 -0.618170 4408352 0.302685 1247 0.395727 0.0083 0.000988 0.001192 0.003557 -0.253359 0.116892 -0.237829
BRD1 16JUL16 2016.5394 57585 1905 7 -119.0 -239 -0.621811 4408352 0.301966 1247 0.396610 0.0083 0.000943 0.001168 0.003358 -0.266750 0.077354 -0.198468
BRD1 16JUL17 2016.5421 57586 1906 1 -119.0 -239 -0.619203 4408352 0.303056 1247 0.391611 0.0083 0.000923 0.001156 0.003310 -0.253477 0.094260 -0.201338
BRD1 16JUL18 2016.5448 57587 1906 2 -119.0 -239 -0.622434 4408352 0.303947 1247 0.389073 0.0083 0.000931 0.001151 0.003439 -0.227533 0.073177 -0.161422
BRD1 16JUL19 2016.5476 57588 1906 3 -119.0 -239 -0.619654 4408352 0.302576 1247 0.396308 0.0083 0.000985 0.001227 0.003537 -0.293291 0.108870 -0.195333
BRD1 16JUL20 2016.5503 57589 1906 4 -119.0 -239 -0.619943 4408352 0.300290 1247 0.392250 0.0083 0.001023 0.001269 0.003649 -0.302914 0.142952 -0.184577
BRD1 16JUL21 2016.5530 57590 1906 5 -119.0 -239 -0.619290 4408352 0.301605 1247 0.404216 0.0083 0.000917 0.001181 0.003418 -0.224066 0.079780 -0.192125
BRD1 16JUL22 2016.5558 57591 1906 6 -119.0 -239 -0.623475 4408352 0.305142 1247 0.392768 0.0083 0.000968 0.001172 0.003530 -0.240911 0.028260 -0.205330
BRD1 16JUL23 2016.5585 57592 1906 7 -119.0 -239 -0.619294 4408352 0.305029 1247 0.389201 0.0083 0.000926 0.001156 0.003437 -0.235027 0.081117 -0.201508
BRD1 16JUL24 2016.5613 57593 1907 1 -119.0 -239 -0.619100 4408352 0.305106 1247 0.384496 0.0083 0.000928 0.001171 0.003535 -0.242505 0.085114 -0.186934
BRD1 16JUL25 2016.5640 57594 1907 2 -119.0 -239 -0.621144 4408352 0.303934 1247 0.389598 0.0083 0.000958 0.001184 0.003527 -0.250615 0.060562 -0.172686
BRD1 16JUL26 2016.5667 57595 1907 3 -119.0 -239 -0.622184 4408352 0.303269 1247 0.391255 0.0083 0.000924 0.001177 0.003488 -0.242698 0.094632 -0.167400
BRD1 16JUL27 2016.5695 57596 1907 4 -119.0 -239 -0.621755 4408352 0.308727 1247 0.390507 0.0083 0.000916 0.001149 0.003393 -0.259230 0.085504 -0.183067
BRD1 16JUL28 2016.5722 57597 1907 5 -119.0 -239 -0.619066 4408352 0.304106 1247 0.392922 0.0083 0.000942 0.001164 0.003514 -0.247795 0.069329 -0.178577
BRD1 16JUL29 2016.5749 57598 1907 6 -119.0 -239 -0.620440 4408352 0.306179 1247 0.383386 0.0083 0.000935 0.001149 0.003497 -0.244453 0.075027 -0.181248
